user_id,synch,asynch,upqa,tpqa,is_lira,course_id,tqc_fa,eqc_fa,eqc_fa_sr,tq_fa_sr,rc
31281,0,18,18,41,1,5,15,0,0,0.75,0
31306,0,24,24,51,1,5,12,10,0.6666666666666666,0.48,0
31390,0,83,83,129,1,5,32,9,0.6,0.5714285714285714,0
31503,0,81,81,170,0,4,34,12,0.8,0.6071428571428571,0
31520,0,0,0,0,0,4,0,0,0,0,0
31643,0,2,2,3,1,5,4,0,0,0.6666666666666666,0
31647,2,46,48,96,1,5,27,10,0.6666666666666666,0.4821428571428571,0
31650,0,83,83,144,1,5,38,12,0.8,0.6785714285714286,0
31856,0,20,20,30,1,5,27,0,0,0.627906977,0
32033,7,74,81,119,0,4,49,13,0.8666666666666667,0.875,1
32043,12,69,81,144,0,4,48,13,0.8666666666666667,0.8571428571428571,1
32095,4,77,81,157,0,4,54,14,0.9333333333333332,0.9642857142857144,1
32285,6,77,83,162,1,5,36,10,0.6666666666666666,0.6428571428571429,0
32305,4,42,46,53,0,4,18,0,0,0.782608696,0
32391,3,11,14,20,1,5,14,0,0,0.7,0
32394,4,21,25,63,0,4,6,0,0,0.5,0
32395,0,68,81,158,0,4,44,11,0.7333333333333333,0.7857142857142857,0
32418,11,70,81,173,0,4,32,13,0.8666666666666667,0.6530612244897959,1
32449,0,81,81,147,0,4,43,11,0.7333333333333333,0.7678571428571429,0
32453,0,81,81,133,0,4,31,10,0.6666666666666666,0.5535714285714286,0
32516,4,70,74,241,0,4,38,11,0.7333333333333333,0.7916666666666666,0
32686,0,38,38,133,0,4,12,0,0,0.7058823529411765,0
32834,0,81,81,162,0,4,30,11,0.7333333333333333,0.6976744186046512,1
32993,11,58,69,150,0,4,22,13,0.8666666666666667,0.5238095238095238,1
33020,0,21,21,51,0,4,2,6,0.4,0.3333333333333333,0
33069,0,81,81,172,0,4,39,11,0.7333333333333333,0.78,1
33151,0,52,52,123,0,4,18,0,0,0.6,0
33192,0,81,81,124,0,4,44,13,0.8666666666666667,0.7857142857142857,1
33293,0,4,4,11,0,4,2,0,0,0.3333333333333333,0
33295,0,31,31,81,0,4,7,0,0,0.5384615384615384,0
33765,3,78,81,178,0,4,28,9,0.6,0.5,0
33860,0,1,1,1,0,4,3,0,0,0.4285714285714285,0
